PID: 0, TP: 10000, CP: 1000, EP: PRONTO, NES: 0, N_CPU: 1000
PID: 0, TP: 10000, CP: 2000, EP: PRONTO, NES: 0, N_CPU: 2000
PID: 0, TP: 10000, CP: 3000, EP: PRONTO, NES: 0, N_CPU: 3000
PID: 0, TP: 10000, CP: 4000, EP: PRONTO, NES: 0, N_CPU: 4000
PID: 0, TP: 10000, CP: 5000, EP: PRONTO, NES: 0, N_CPU: 5000
PID: 0, TP: 10000, CP: 6000, EP: PRONTO, NES: 0, N_CPU: 6000
PID: 0, TP: 10000, CP: 7000, EP: PRONTO, NES: 0, N_CPU: 7000
PID: 0, TP: 10000, CP: 8000, EP: PRONTO, NES: 0, N_CPU: 8000
PID: 0, TP: 10000, CP: 9000, EP: PRONTO, NES: 0, N_CPU: 9000
PID: 0, TP: 10000, CP: 10000, EP: TERMINADO, NES: 0, N_CPU: 10000
PID: 1, TP: 5000, CP: 1000, EP: PRONTO, NES: 0, N_CPU: 1000
PID: 1, TP: 5000, CP: 2000, EP: PRONTO, NES: 0, N_CPU: 2000
PID: 1, TP: 5000, CP: 3000, EP: PRONTO, NES: 0, N_CPU: 3000
PID: 1, TP: 5000, CP: 4000, EP: PRONTO, NES: 0, N_CPU: 4000
PID: 1, TP: 5000, CP: 5000, EP: TERMINADO, NES: 0, N_CPU: 5000
PID: 2, TP: 7000, CP: 1000, EP: PRONTO, NES: 0, N_CPU: 1000
PID: 2, TP: 7000, CP: 2000, EP: PRONTO, NES: 0, N_CPU: 2000
PID: 2, TP: 7000, CP: 3000, EP: PRONTO, NES: 0, N_CPU: 3000
PID: 2, TP: 7000, CP: 4000, EP: PRONTO, NES: 0, N_CPU: 4000
PID: 2, TP: 7000, CP: 5000, EP: PRONTO, NES: 0, N_CPU: 5000
PID: 2, TP: 7000, CP: 6000, EP: PRONTO, NES: 0, N_CPU: 6000
PID: 2, TP: 7000, CP: 7000, EP: TERMINADO, NES: 0, N_CPU: 7000
PID: 3, TP: 3000, CP: 1000, EP: PRONTO, NES: 0, N_CPU: 1000
PID: 3, TP: 3000, CP: 2000, EP: PRONTO, NES: 0, N_CPU: 2000
PID: 3, TP: 3000, CP: 3000, EP: TERMINADO, NES: 0, N_CPU: 3000
PID: 4, TP: 3000, CP: 1000, EP: PRONTO, NES: 0, N_CPU: 1000
PID: 4, TP: 3000, CP: 2000, EP: PRONTO, NES: 0, N_CPU: 2000
PID: 4, TP: 3000, CP: 3000, EP: TERMINADO, NES: 0, N_CPU: 3000
PID: 5, TP: 8000, CP: 1000, EP: PRONTO, NES: 0, N_CPU: 1000
PID: 5, TP: 8000, CP: 2000, EP: PRONTO, NES: 0, N_CPU: 2000
PID: 5, TP: 8000, CP: 3000, EP: PRONTO, NES: 0, N_CPU: 3000
PID: 5, TP: 8000, CP: 4000, EP: PRONTO, NES: 0, N_CPU: 4000
PID: 5, TP: 8000, CP: 4000, EP: BLOQUEADO, NES: 1, N_CPU: 4000
PID: 6, TP: 2000, CP: 1000, EP: PRONTO, NES: 0, N_CPU: 1000
PID: 6, TP: 2000, CP: 2000, EP: TERMINADO, NES: 0, N_CPU: 2000
PID: 7, TP: 5000, CP: 1000, EP: PRONTO, NES: 0, N_CPU: 1000
PID: 7, TP: 5000, CP: 2000, EP: PRONTO, NES: 0, N_CPU: 2000
PID: 7, TP: 5000, CP: 3000, EP: PRONTO, NES: 0, N_CPU: 3000
PID: 7, TP: 5000, CP: 4000, EP: PRONTO, NES: 0, N_CPU: 4000
PID: 7, TP: 5000, CP: 5000, EP: TERMINADO, NES: 0, N_CPU: 5000
PID: 8, TP: 4000, CP: 1000, EP: PRONTO, NES: 0, N_CPU: 1000
PID: 8, TP: 4000, CP: 2000, EP: PRONTO, NES: 0, N_CPU: 2000
PID: 8, TP: 4000, CP: 3000, EP: PRONTO, NES: 0, N_CPU: 3000
PID: 8, TP: 4000, CP: 4000, EP: TERMINADO, NES: 0, N_CPU: 4000
PID: 9, TP: 10000, CP: 1000, EP: PRONTO, NES: 0, N_CPU: 1000
PID: 9, TP: 10000, CP: 2000, EP: PRONTO, NES: 0, N_CPU: 2000
PID: 9, TP: 10000, CP: 3000, EP: PRONTO, NES: 0, N_CPU: 3000
PID: 9, TP: 10000, CP: 4000, EP: PRONTO, NES: 0, N_CPU: 4000
PID: 9, TP: 10000, CP: 5000, EP: PRONTO, NES: 0, N_CPU: 5000
PID: 9, TP: 10000, CP: 6000, EP: PRONTO, NES: 0, N_CPU: 6000
PID: 9, TP: 10000, CP: 7000, EP: PRONTO, NES: 0, N_CPU: 7000
PID: 9, TP: 10000, CP: 8000, EP: PRONTO, NES: 0, N_CPU: 8000
PID: 9, TP: 10000, CP: 8000, EP: BLOQUEADO, NES: 1, N_CPU: 8000
